file_name,snr_db,method,wer,cer,latency_ms
6930-75918-0008_babble_snr5dB.wav,5.0,none,0.2727,0.2333,1485.24
6930-75918-0008_babble_snr5dB.wav,5.0,wiener,0.2727,0.1667,1461.12
6930-75918-0008_babble_snr5dB.wav,5.0,spectral_subtraction,0.2727,0.2333,1625.78
6930-75918-0017_babble_snr20dB.wav,20.0,none,0.1875,0.0404,7532.05
6930-75918-0017_babble_snr20dB.wav,20.0,wiener,0.1875,0.0404,3615.74
6930-75918-0017_babble_snr20dB.wav,20.0,spectral_subtraction,0.1875,0.0404,3641.82
6930-75918-0017_babble_snr10dB.wav,10.0,none,0.1875,0.0404,1326.93
6930-75918-0017_babble_snr10dB.wav,10.0,wiener,0.1875,0.0404,1370.1
6930-75918-0017_babble_snr10dB.wav,10.0,spectral_subtraction,0.25,0.0606,1419.34
6930-75918-0017_babble_snr5dB.wav,5.0,none,0.1875,0.0404,1542.68
6930-75918-0017_babble_snr5dB.wav,5.0,wiener,0.25,0.0909,1503.24
6930-75918-0017_babble_snr5dB.wav,5.0,spectral_subtraction,0.5,0.2929,1886.62
6930-75918-0016_babble_snr20dB.wav,20.0,none,0.2759,0.0593,2347.32
6930-75918-0016_babble_snr20dB.wav,20.0,wiener,0.2759,0.0593,2407.35
6930-75918-0016_babble_snr20dB.wav,20.0,spectral_subtraction,0.3103,0.0741,2458.36
6930-75918-0016_babble_snr10dB.wav,10.0,none,0.1724,0.0296,2422.75
6930-75918-0016_babble_snr10dB.wav,10.0,wiener,0.2414,0.0519,2388.99
6930-75918-0016_babble_snr10dB.wav,10.0,spectral_subtraction,0.3103,0.0741,12870.58
6930-75918-0016_babble_snr5dB.wav,5.0,none,0.2759,0.1185,4134.55
6930-75918-0016_babble_snr5dB.wav,5.0,wiener,0.4138,0.1481,1996.04
6930-75918-0016_babble_snr5dB.wav,5.0,spectral_subtraction,0.4138,0.1852,2043.42
6930-75918-0013_babble_snr20dB.wav,20.0,none,0.5,0.1622,1073.11
6930-75918-0013_babble_snr20dB.wav,20.0,wiener,0.5,0.1622,1086.2
6930-75918-0013_babble_snr20dB.wav,20.0,spectral_subtraction,0.125,0.027,1040.37
6930-75918-0013_babble_snr10dB.wav,10.0,none,0.375,0.1622,1082.62
6930-75918-0013_babble_snr10dB.wav,10.0,wiener,0.5,0.1892,1097.32
6930-75918-0013_babble_snr10dB.wav,10.0,spectral_subtraction,0.375,0.1622,1153.93
6930-75918-0013_babble_snr5dB.wav,5.0,none,0.5,0.2432,1033.95
6930-75918-0013_babble_snr5dB.wav,5.0,wiener,0.625,0.2432,1173.45
6930-75918-0013_babble_snr5dB.wav,5.0,spectral_subtraction,0.75,0.5676,1253.61
6930-75918-0019_babble_snr20dB.wav,20.0,none,0.129,0.0182,2584.02
6930-75918-0019_babble_snr20dB.wav,20.0,wiener,0.1613,0.0242,2726.46
6930-75918-0019_babble_snr20dB.wav,20.0,spectral_subtraction,0.1613,0.0242,2719.04
6930-75918-0019_babble_snr10dB.wav,10.0,none,0.129,0.0182,15350.07
6930-75918-0019_babble_snr10dB.wav,10.0,wiener,0.129,0.0182,2098.75
6930-75918-0019_babble_snr10dB.wav,10.0,spectral_subtraction,0.1613,0.0485,2103.33
6930-75918-0019_babble_snr5dB.wav,5.0,none,0.2903,0.1576,2468.64
6930-75918-0019_babble_snr5dB.wav,5.0,wiener,0.5484,0.2667,2478.76
6930-75918-0019_babble_snr5dB.wav,5.0,spectral_subtraction,0.6129,0.3333,2191.39
6930-75918-0014_babble_snr20dB.wav,20.0,none,0.1628,0.0433,3327.32
6930-75918-0014_babble_snr20dB.wav,20.0,wiener,0.2093,0.0512,3393.15
6930-75918-0014_babble_snr20dB.wav,20.0,spectral_subtraction,0.2558,0.063,3484.05
6930-75918-0014_babble_snr10dB.wav,10.0,none,0.2791,0.0669,13081.08
6930-75918-0014_babble_snr10dB.wav,10.0,wiener,0.2326,0.0472,2936.51
6930-75918-0014_babble_snr10dB.wav,10.0,spectral_subtraction,0.3023,0.0827,2929.84
6930-75918-0014_babble_snr5dB.wav,5.0,none,0.4186,0.1654,3288.59
6930-75918-0014_babble_snr5dB.wav,5.0,wiener,0.5116,0.189,3368.61
6930-75918-0014_babble_snr5dB.wav,5.0,spectral_subtraction,0.6279,0.3898,2659.97
6930-75918-0009_babble_snr20dB.wav,20.0,none,0.125,0.0348,9374.29
6930-75918-0009_babble_snr20dB.wav,20.0,wiener,0.125,0.0348,6840.52
6930-75918-0009_babble_snr20dB.wav,20.0,spectral_subtraction,0.125,0.0348,1704.31
6930-75918-0009_babble_snr10dB.wav,10.0,none,0.125,0.0609,1590.65
6930-75918-0009_babble_snr10dB.wav,10.0,wiener,0.4167,0.2261,1666.13
6930-75918-0009_babble_snr10dB.wav,10.0,spectral_subtraction,0.2083,0.1217,1752.14
6930-75918-0009_babble_snr5dB.wav,5.0,none,0.4583,0.2174,2085.43
6930-75918-0009_babble_snr5dB.wav,5.0,wiener,0.5417,0.313,1972.12
6930-75918-0009_babble_snr5dB.wav,5.0,spectral_subtraction,0.8333,0.5826,1670.01
6930-75918-0020_babble_snr20dB.wav,20.0,none,0.1053,0.0708,3133.77
6930-75918-0020_babble_snr20dB.wav,20.0,wiener,0.1316,0.0519,3280.9
6930-75918-0020_babble_snr20dB.wav,20.0,spectral_subtraction,0.1842,0.1085,16860.11
6930-75918-0020_babble_snr10dB.wav,10.0,none,0.1842,0.1226,2775.07
6930-75918-0020_babble_snr10dB.wav,10.0,wiener,0.1579,0.0849,2931.34
6930-75918-0020_babble_snr10dB.wav,10.0,spectral_subtraction,0.2632,0.1321,2839.88
6930-75918-0020_babble_snr5dB.wav,5.0,none,0.4211,0.2217,2990.78
6930-75918-0020_babble_snr5dB.wav,5.0,wiener,0.6316,0.4057,3090.29
6930-75918-0020_babble_snr5dB.wav,5.0,spectral_subtraction,0.6579,0.4387,23387.95
