file_name,snr_db,method,wer,cer,latency_ms
6930-75918-0008_pink_snr10dB.wav,10.0,wiener,0.1818,0.0333,2016.8
6930-75918-0008_pink_snr10dB.wav,10.0,spectral_subtraction,0.1818,0.0333,2030.36
6930-75918-0008_pink_snr5dB.wav,5.0,none,0.1818,0.0333,1973.19
6930-75918-0008_pink_snr5dB.wav,5.0,wiener,0.1818,0.0333,1956.4
6930-75918-0008_pink_snr5dB.wav,5.0,spectral_subtraction,0.1818,0.0333,1998.99
6930-75918-0017_pink_snr20dB.wav,20.0,none,0.1875,0.0404,2401.54
6930-75918-0017_pink_snr20dB.wav,20.0,wiener,0.1875,0.0404,2378.06
6930-75918-0017_pink_snr20dB.wav,20.0,spectral_subtraction,0.1875,0.0404,2331.13
6930-75918-0017_pink_snr10dB.wav,10.0,none,0.1875,0.0404,2360.13
6930-75918-0017_pink_snr10dB.wav,10.0,wiener,0.1875,0.0404,2386.32
6930-75918-0017_pink_snr10dB.wav,10.0,spectral_subtraction,0.25,0.0505,2524.03
6930-75918-0017_pink_snr5dB.wav,5.0,none,0.1875,0.0404,2447.64
6930-75918-0017_pink_snr5dB.wav,5.0,wiener,0.25,0.0909,2358.85
6930-75918-0017_pink_snr5dB.wav,5.0,spectral_subtraction,0.5,0.2828,2778.4
6930-75918-0016_pink_snr20dB.wav,20.0,none,0.2759,0.0593,3598.95
6930-75918-0016_pink_snr20dB.wav,20.0,wiener,0.2759,0.0593,3508.82
6930-75918-0016_pink_snr20dB.wav,20.0,spectral_subtraction,0.2759,0.0593,3541.09
6930-75918-0016_pink_snr10dB.wav,10.0,none,0.2414,0.0519,3532.97
6930-75918-0016_pink_snr10dB.wav,10.0,wiener,0.2414,0.0444,3395.91
6930-75918-0016_pink_snr10dB.wav,10.0,spectral_subtraction,0.3793,0.1111,3534.15
6930-75918-0016_pink_snr5dB.wav,5.0,none,0.2414,0.0519,3494.92
6930-75918-0016_pink_snr5dB.wav,5.0,wiener,0.5172,0.2593,3682.08
6930-75918-0016_pink_snr5dB.wav,5.0,spectral_subtraction,0.4138,0.163,3560.48
6930-75918-0013_pink_snr20dB.wav,20.0,none,0.25,0.0541,1712.66
6930-75918-0013_pink_snr20dB.wav,20.0,wiener,0.25,0.0541,1695.08
6930-75918-0013_pink_snr20dB.wav,20.0,spectral_subtraction,0.25,0.1351,1643.32
6930-75918-0013_pink_snr10dB.wav,10.0,none,0.5,0.2973,1771.98
6930-75918-0013_pink_snr10dB.wav,10.0,wiener,0.375,0.1622,1715.51
6930-75918-0013_pink_snr10dB.wav,10.0,spectral_subtraction,0.125,0.027,1723.42
6930-75918-0013_pink_snr5dB.wav,5.0,none,0.5,0.2973,1763.74
6930-75918-0013_pink_snr5dB.wav,5.0,wiener,0.25,0.0541,1764.33
6930-75918-0013_pink_snr5dB.wav,5.0,spectral_subtraction,0.375,0.1892,1708.09
6930-75918-0019_pink_snr20dB.wav,20.0,none,0.129,0.0182,3740.51
6930-75918-0019_pink_snr20dB.wav,20.0,wiener,0.1613,0.0242,3675.15
6930-75918-0019_pink_snr20dB.wav,20.0,spectral_subtraction,0.1613,0.0242,3290.05
6930-75918-0019_pink_snr10dB.wav,10.0,none,0.129,0.0121,2893.66
6930-75918-0019_pink_snr10dB.wav,10.0,wiener,0.1935,0.0364,3989.3
6930-75918-0019_pink_snr10dB.wav,10.0,spectral_subtraction,0.129,0.0364,3896.51
6930-75918-0019_pink_snr5dB.wav,5.0,none,0.1935,0.0364,3666.19
6930-75918-0019_pink_snr5dB.wav,5.0,wiener,0.1935,0.0424,3661.18
6930-75918-0019_pink_snr5dB.wav,5.0,spectral_subtraction,0.4516,0.2061,3698.18
6930-75918-0014_pink_snr20dB.wav,20.0,none,0.1628,0.0315,5021.42
