file_name,snr_db,method,wer,latency_ms
6930-75918-0014_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0014_snr10dB.wav,10.0,none,0.186,2632.47
6930-75918-0014_snr10dB.wav,10.0,wiener,0.2093,2607.1
6930-75918-0014_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0014_snr5dB.wav,5.0,none,0.2326,2794.33
6930-75918-0014_snr5dB.wav,5.0,wiener,0.2326,2776.01
6930-75918-0014_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0009_snr20dB.wav,20.0,none,0.125,1780.99
6930-75918-0009_snr20dB.wav,20.0,wiener,0.1667,1743.27
6930-75918-0009_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0009_snr10dB.wav,10.0,none,0.1667,1770.74
6930-75918-0009_snr10dB.wav,10.0,wiener,0.2083,1720.4
6930-75918-0009_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0009_snr5dB.wav,5.0,none,0.25,1779.68
6930-75918-0009_snr5dB.wav,5.0,wiener,0.2083,1642.82
6930-75918-0009_snr5dB.wav,5.0,spectral_subtraction,-1,-1
6930-75918-0020_snr20dB.wav,20.0,none,0.1842,2982.76
6930-75918-0020_snr20dB.wav,20.0,wiener,0.1053,2833.68
6930-75918-0020_snr20dB.wav,20.0,spectral_subtraction,-1,-1
6930-75918-0020_snr10dB.wav,10.0,none,0.1842,2926.46
6930-75918-0020_snr10dB.wav,10.0,wiener,0.1842,2693.38
6930-75918-0020_snr10dB.wav,10.0,spectral_subtraction,-1,-1
6930-75918-0020_snr5dB.wav,5.0,none,0.2105,2806.35
6930-75918-0020_snr5dB.wav,5.0,wiener,0.2895,2876.02
6930-75918-0020_snr5dB.wav,5.0,spectral_subtraction,-1,-1
