file_name,snr_db,method,wer,cer,latency_ms
6930-75918-0017_urban_snr5dB.wav,5.0,wiener,0.25,0.0909,1491.68
6930-75918-0017_urban_snr5dB.wav,5.0,spectral_subtraction,0.4375,0.1818,1522.03
6930-75918-0016_urban_snr20dB.wav,20.0,none,0.2759,0.0593,2148.05
6930-75918-0016_urban_snr20dB.wav,20.0,wiener,0.2759,0.0593,2193.35
6930-75918-0016_urban_snr20dB.wav,20.0,spectral_subtraction,0.3103,0.0741,2103.68
6930-75918-0016_urban_snr10dB.wav,10.0,none,0.2759,0.0593,2112.55
6930-75918-0016_urban_snr10dB.wav,10.0,wiener,0.2759,0.0593,2120.68
6930-75918-0016_urban_snr10dB.wav,10.0,spectral_subtraction,0.3103,0.0889,2188.2
6930-75918-0016_urban_snr5dB.wav,5.0,none,0.2414,0.0519,2166.14
6930-75918-0016_urban_snr5dB.wav,5.0,wiener,0.3448,0.1037,2314.95
6930-75918-0016_urban_snr5dB.wav,5.0,spectral_subtraction,0.3793,0.1259,2215.39
6930-75918-0013_urban_snr20dB.wav,20.0,none,0.375,0.1351,1146.87
6930-75918-0013_urban_snr20dB.wav,20.0,wiener,0.5,0.1622,1147.64
6930-75918-0013_urban_snr20dB.wav,20.0,spectral_subtraction,0.125,0.027,1173.04
6930-75918-0013_urban_snr10dB.wav,10.0,none,0.5,0.1622,1156.69
6930-75918-0013_urban_snr10dB.wav,10.0,wiener,0.375,0.1622,1211.54
6930-75918-0013_urban_snr10dB.wav,10.0,spectral_subtraction,0.25,0.1351,1158.9
6930-75918-0013_urban_snr5dB.wav,5.0,none,0.375,0.1622,1145.31
6930-75918-0013_urban_snr5dB.wav,5.0,wiener,0.5,0.2162,1157.2
6930-75918-0013_urban_snr5dB.wav,5.0,spectral_subtraction,0.25,0.0541,1067.23
6930-75918-0019_urban_snr20dB.wav,20.0,none,0.129,0.0182,2530.23
6930-75918-0019_urban_snr20dB.wav,20.0,wiener,0.1613,0.0242,2616.78
6930-75918-0019_urban_snr20dB.wav,20.0,spectral_subtraction,0.129,0.0182,2450.06
6930-75918-0019_urban_snr10dB.wav,10.0,none,0.1935,0.0364,2435.83
6930-75918-0019_urban_snr10dB.wav,10.0,wiener,0.1935,0.0364,2497.29
6930-75918-0019_urban_snr10dB.wav,10.0,spectral_subtraction,0.1613,0.0545,2467.68
6930-75918-0019_urban_snr5dB.wav,5.0,none,0.2581,0.0667,2556.39
6930-75918-0019_urban_snr5dB.wav,5.0,wiener,0.2258,0.0606,2412.62
6930-75918-0019_urban_snr5dB.wav,5.0,spectral_subtraction,0.2581,0.1091,2654.17
6930-75918-0014_urban_snr20dB.wav,20.0,none,0.1628,0.0315,3328.58
6930-75918-0014_urban_snr20dB.wav,20.0,wiener,0.2093,0.0472,3077.83
6930-75918-0014_urban_snr20dB.wav,20.0,spectral_subtraction,0.2558,0.063,3263.61
6930-75918-0014_urban_snr10dB.wav,10.0,none,0.2093,0.0433,3244.27
6930-75918-0014_urban_snr10dB.wav,10.0,wiener,0.2093,0.0472,3113.26
6930-75918-0014_urban_snr10dB.wav,10.0,spectral_subtraction,0.3023,0.0827,3229.29
6930-75918-0014_urban_snr5dB.wav,5.0,none,0.4186,0.1614,3220.58
6930-75918-0014_urban_snr5dB.wav,5.0,wiener,0.5814,0.2362,3490.37
6930-75918-0014_urban_snr5dB.wav,5.0,spectral_subtraction,0.6047,0.2953,3540.61
6930-75918-0009_urban_snr20dB.wav,20.0,none,0.125,0.0348,2018.71
6930-75918-0009_urban_snr20dB.wav,20.0,wiener,0.1667,0.0696,2056.75
6930-75918-0009_urban_snr20dB.wav,20.0,spectral_subtraction,0.125,0.0348,2339.34
6930-75918-0009_urban_snr10dB.wav,10.0,none,0.125,0.0609,2028.22
6930-75918-0009_urban_snr10dB.wav,10.0,wiener,0.2083,0.1304,2241.33
6930-75918-0009_urban_snr10dB.wav,10.0,spectral_subtraction,0.2083,0.0957,2089.74
6930-75918-0009_urban_snr5dB.wav,5.0,none,0.125,0.0522,2330.75
6930-75918-0009_urban_snr5dB.wav,5.0,wiener,0.3333,0.2087,1898.68
6930-75918-0009_urban_snr5dB.wav,5.0,spectral_subtraction,0.125,0.0609,2027.14
6930-75918-0020_urban_snr20dB.wav,20.0,none,0.1316,0.0708,3091.17
6930-75918-0020_urban_snr20dB.wav,20.0,wiener,0.1579,0.0708,3325.15
6930-75918-0020_urban_snr20dB.wav,20.0,spectral_subtraction,0.2895,0.1368,3345.42
6930-75918-0020_urban_snr10dB.wav,10.0,none,0.2368,0.0849,3428.14
6930-75918-0020_urban_snr10dB.wav,10.0,wiener,0.2105,0.0755,3309.68
6930-75918-0020_urban_snr10dB.wav,10.0,spectral_subtraction,0.1579,0.0943,3316.21
6930-75918-0020_urban_snr5dB.wav,5.0,none,0.2368,0.1415,3195.89
6930-75918-0020_urban_snr5dB.wav,5.0,wiener,0.4474,0.2547,3352.57
6930-75918-0020_urban_snr5dB.wav,5.0,spectral_subtraction,0.6053,0.3302,3285.79
